Id,Label,latitude,longitude,group,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,modularity_class
Moos,Moos,48.752054,12.962472,Ost,37,51,2,0.672897,0.756944,39.691731,0.100788,0.100787,0.015875,0
Thundorf,Thundorf,48.758047,13.016182,Ost,45,106,2,0.727273,0.8125,30.873292,0.145497,0.145497,0.017558,0
Balsthal,Balsthal,47.314037,7.694776,West,56,150,2,0.818182,0.888889,81.140569,0.166208,0.166208,0.021757,0
Eppenberg-Wöschnau,Eppenberg-Wöschnau,47.383092,8.02446,West,37,37,2,0.672897,0.756944,0,0.135793,0.135793,0.014202,0
Bad Zurzach,Bad Zurzach,47.589838,8.285842,West,37,37,2,0.672897,0.756944,0,0.135793,0.135793,0.014202,0
Baden,Baden,47.473683,8.308682,West,12,12,3,0.486486,0.546296,0,0.031522,0.031522,0.006574,0
Vallon,Vallon,46.882477,6.951657,West,12,12,3,0.486486,0.546296,0,0.031522,0.031522,0.006574,0
Bern,Bern,46.948474,7.452175,West,43,117,2,0.712871,0.798611,24.227414,0.141977,0.141978,0.016794,0
Diessenhofen,Diessenhofen,47.687532,8.749267,West,37,37,2,0.672897,0.756944,0,0.135793,0.135793,0.014202,0
Avenches,Avenches,46.879575,7.040941,West,46,170,2,0.734694,0.819444,43.538901,0.144217,0.144217,0.018187,0
Kirchberg,Kirchberg,47.085173,7.581513,West,37,37,2,0.672897,0.756944,0,0.135793,0.135793,0.014202,0
Altenburg-Rheinau,Altenburg-Rheinau,47.663644,8.596879,West,56,563,2,0.818182,0.888889,81.140569,0.166208,0.166208,0.021757,1
Biel,Biel,47.140208,7.243903,West,11,11,3,0.483221,0.539352,0,0.032079,0.032079,0.006055,0
Mont Beuvray,Mont Beuvray,46.924459,4.039623,West,21,27,2,0.585366,0.645833,7.957672,0.06256,0.06256,0.009672,0
Kyburg,Kyburg,47.457086,8.744344,West,12,12,3,0.486486,0.546296,0,0.031522,0.031522,0.006574,0
Brugg,Brugg,47.482463,8.208566,West,37,37,2,0.672897,0.756944,0,0.135793,0.135793,0.014202,0
Roggwil,Roggwil,47.241147,7.823077,West,46,451,2,0.734694,0.819444,43.538901,0.144217,0.144217,0.018187,1
Biberist,Biberist,47.181061,7.562609,West,16,23,3,0.5,0.574074,1.864379,0.039699,0.0397,0.008203,0
Basel,Basel,47.558108,7.587826,West,37,60,2,0.672897,0.756944,0,0.135793,0.135793,0.014202,0
Geneva,Geneva,46.201756,6.146601,West,45,60,2,0.727273,0.8125,40.817472,0.142913,0.142913,0.017787,0
Windisch,Windisch,47.479347,8.217992,West,54,185,2,0.8,0.875,60.882455,0.164689,0.164689,0.020824,0
Courroux,Courroux,47.359922,7.378292,West,16,32,3,0.5,0.574074,1.864379,0.039699,0.0397,0.008203,0
Balm bei Lottstetten,Balm bei Lottstetten,47.627516,8.573616,West,11,11,3,0.483221,0.539352,0,0.032079,0.032079,0.006055,0
Merklingen,Merklingen,48.510106,9.755774,Ost,39,311,2,0.685714,0.770833,3.235014,0.138578,0.138578,0.014993,1
Baar,Baar,47.195198,8.525398,West,41,102,2,0.699029,0.784722,20.186845,0.139192,0.139192,0.016003,0
Niederbipp,Niederbipp,47.268494,7.693334,West,39,75,2,0.685714,0.770833,3.235014,0.138578,0.138578,0.014993,0
Rheinau,Rheinau,47.643925,8.601757,West,56,394,2,0.818182,0.888889,81.140569,0.166208,0.166208,0.021757,1
